DWIVEDI        CLASSICAL       RUN
0.243606       0.118308       0
0.0893446      0.118816       1
0.418071       0.118655       2
0.184142       0.118583       3
0.421816       0.11829        4
0.452445       0.119044       5
0.121259       0.118684       6
0.530226       0.118656       7
0.338122       0.118652       8
0.40671        0.118934       9
0.377046       0.11926        10
0.165333       0.11891        11
0.227922       0.118704       12
0.191369       0.11855        13
0.350116       0.118801       14
0.187226       0.11915        15
0.213881       0.118516       16
0.181161       0.118322       17
0.20593        0.118963       18
0.404718       0.118507       19
0.139166       0.118896       20
0.183349       0.11827        21
0.127941       0.11822        22
0.468654       0.118527       23
0.379682       0.119032       24
0.257837       0.11947        25
0.152903       0.118119       26
0.595695       0.118782       27
0.583798       0.1189         28
0.111116       0.118803       29
0.138266       0.11874        30
0.356587       0.118669       31
0.307487       0.118765       32
0.375409       0.118807       33
0.211441       0.118829       34
0.376917       0.118465       35
0.159952       0.119041       36
0.290319       0.11852        37
0.364793       0.119008       38
0.482031       0.118988       39
0.161116       0.118348       40
0.201145       0.119003       41
0.231505       0.118561       42
0.339219       0.118968       43
0.219968       0.119044       44
0.217035       0.118465       45
0.294425       0.118969       46
0.143098       0.119064       47
0.166907       0.118638       48
0.565259       0.118468       49
0.224237       0.1184         50
0.192751       0.118593       51
0.358602       0.118963       52
0.146871       0.118891       53
0.610536       0.118994       54
0.383375       0.118947       55
0.322332       0.11856        56
0.135288       0.118622       57
0.217385       0.119093       58
0.227802       0.118475       59
0.264458       0.11849        60
0.363063       0.118297       61
0.0786061      0.118581       62
0.190483       0.118973       63
0.196085       0.118379       64
0.171198       0.118294       65
0.278717       0.118245       66
0.190061       0.11887        67
0.118312       0.119117       68
0.0851759      0.118748       69
0.162873       0.118324       70
0.117829       0.11829        71
0.203869       0.118776       72
0.132837       0.118662       73
0.254322       0.118523       74
0.255457       0.118799       75
0.537109       0.118708       76
0.143544       0.118361       77
0.498512       0.118921       78
0.491085       0.119051       79
0.239522       0.118648       80
0.295734       0.118182       81
0.152417       0.118054       82
0.277198       0.118288       83
0.158279       0.1184         84
0.24277        0.11857        85
0.129557       0.118786       86
0.652378       0.118253       87
0.145132       0.118846       88
0.327742       0.118968       89
0.132907       0.118863       90
0.326566       0.118771       91
0.223771       0.118625       92
0.166636       0.118892       93
0.654668       0.118409       94
0.12126        0.118996       95
0.203472       0.118569       96
0.151149       0.11921        97
0.196109       0.119106       98
0.231094       0.119278       99
