DWIVEDI        CLASSICAL       RUN
1.47121e-09    1.90777e-09    0
1.46784e-09    1.46189e-09    1
1.48018e-09    1.34509e-09    2
1.47167e-09    1.39983e-09    3
1.48523e-09    1.34679e-09    4
1.48273e-09    1.76473e-09    5
1.4722e-09     1.43815e-09    6
1.47699e-09    1.25075e-09    7
1.47201e-09    1.54443e-09    8
1.47302e-09    1.62168e-09    9
1.47357e-09    1.64771e-09    10
1.48424e-09    1.66514e-09    11
1.47596e-09    1.64241e-09    12
1.47702e-09    1.41635e-09    13
1.47478e-09    1.56384e-09    14
1.47031e-09    1.63204e-09    15
1.4829e-09     1.09384e-09    16
1.47837e-09    1.49265e-09    17
1.48017e-09    2.05768e-09    18
1.48607e-09    1.54115e-09    19
1.47601e-09    1.42599e-09    20
1.47536e-09    1.20101e-09    21
1.46654e-09    1.8527e-09     22
1.47193e-09    1.29901e-09    23
1.48393e-09    1.49613e-09    24
1.47511e-09    1.54979e-09    25
1.48253e-09    1.1828e-09     26
1.49151e-09    1.68076e-09    27
1.46387e-09    1.47127e-09    28
1.47875e-09    1.57036e-09    29
1.47431e-09    1.56138e-09    30
1.48429e-09    1.4949e-09     31
1.47212e-09    1.65348e-09    32
1.47922e-09    1.45433e-09    33
1.47202e-09    1.60292e-09    34
1.47382e-09    1.34139e-09    35
1.47333e-09    1.2102e-09     36
1.47748e-09    1.41292e-09    37
1.48036e-09    1.57213e-09    38
1.48318e-09    1.51551e-09    39
1.4737e-09     1.73769e-09    40
1.48095e-09    1.53613e-09    41
1.47795e-09    1.4879e-09     42
1.47569e-09    1.55847e-09    43
1.46273e-09    1.18671e-09    44
1.45864e-09    1.59253e-09    45
1.46525e-09    1.71653e-09    46
1.47426e-09    1.69086e-09    47
1.46958e-09    1.6855e-09     48
1.48362e-09    1.67144e-09    49
1.47841e-09    1.18722e-09    50
1.47514e-09    1.53668e-09    51
1.46853e-09    1.51967e-09    52
1.48539e-09    1.30506e-09    53
1.47759e-09    1.37331e-09    54
1.47998e-09    1.31901e-09    55
1.47061e-09    1.21442e-09    56
1.46764e-09    1.53985e-09    57
1.48084e-09    1.43319e-09    58
1.47452e-09    1.32251e-09    59
1.46915e-09    1.43765e-09    60
1.46946e-09    1.42336e-09    61
1.48691e-09    1.32686e-09    62
1.48322e-09    1.3483e-09     63
1.46764e-09    1.58912e-09    64
1.46503e-09    1.0405e-09     65
1.46913e-09    1.59993e-09    66
1.48887e-09    1.60185e-09    67
1.47983e-09    1.65091e-09    68
1.48438e-09    1.35497e-09    69
1.4756e-09     1.24152e-09    70
1.48062e-09    1.33574e-09    71
1.46958e-09    1.46977e-09    72
1.46731e-09    1.70937e-09    73
1.465e-09      1.30559e-09    74
1.4732e-09     1.71958e-09    75
1.4726e-09     1.48621e-09    76
1.48125e-09    1.54425e-09    77
1.47972e-09    1.47225e-09    78
1.48297e-09    1.86526e-09    79
1.47526e-09    1.33131e-09    80
1.47246e-09    1.3554e-09     81
1.47038e-09    1.05683e-09    82
1.47148e-09    1.41271e-09    83
1.46948e-09    1.6938e-09     84
1.48441e-09    1.56187e-09    85
