weight_A       weight_B        ir
8.15908e-07    9.53407e-06     0
3.5484e-06     1.4694e-05      0.005
9.71405e-07    1.61584e-05     0.01
5.58787e-06    7.08086e-06     0.015
5.00694e-06    1.61338e-05     0.02
8.79798e-06    1.13048e-05     0.025
5.54822e-06    9.21901e-06     0.03
8.08635e-06    9.22025e-06     0.035
6.78068e-06    8.10383e-06     0.04
1.49709e-05    7.3276e-06      0.045
6.23994e-06    5.55742e-06     0.05
4.54425e-06    5.01165e-06     0.055
1.09486e-05    7.22857e-06     0.06
4.55304e-06    4.97699e-06     0.065
1.34783e-05    5.09546e-06     0.07
2.10386e-05    4.87651e-06     0.075
1.11747e-05    8.78973e-06     0.08
1.19831e-05    5.15268e-06     0.085
7.93257e-06    5.75239e-06     0.09
1.2216e-05     3.67694e-06     0.095
1.5643e-05     3.79764e-06     0.1
1.09782e-05    3.9661e-06      0.105
1.41814e-05    5.20992e-06     0.11
1.35641e-05    5.57385e-06     0.115
1.51777e-05    3.57595e-06     0.12
1.87254e-05    3.04444e-06     0.125
1.15097e-05    4.02397e-06     0.13
1.74849e-05    3.72738e-06     0.135
8.80992e-06    2.82318e-06     0.14
9.65878e-06    2.467e-06       0.145
1.42922e-05    3.85791e-06     0.15
1.42079e-05    2.08041e-06     0.155
1.54926e-05    3.40243e-06     0.16
1.27716e-05    2.50607e-06     0.165
1.10677e-05    3.09068e-06     0.17
8.5984e-06     1.34674e-06     0.175
1.20889e-05    3.18648e-06     0.18
1.80434e-05    2.07496e-06     0.185
8.75374e-06    1.81631e-06     0.19
2.20912e-05    1.3852e-06      0.195
2.15024e-05    1.7311e-06      0.2
5.89169e-06    1.81281e-06     0.205
1.04287e-05    2.0153e-06      0.21
6.06328e-06    1.37978e-06     0.215
1.45455e-05    2.73778e-06     0.22
1.63754e-05    2.79656e-06     0.225
2.01239e-05    2.74951e-06     0.23
2.54634e-05    1.5251e-06      0.235
6.27261e-06    1.67857e-06     0.24
1.04042e-05    5.41827e-07     0.245
2.24513e-05    1.2309e-06      0.25
1.67671e-05    3.12707e-06     0.255
1.19998e-05    3.2151e-07      0.26
1.02529e-05    9.19328e-07     0.265
1.73885e-05    4.69756e-07     0.27
1.15773e-05    5.98078e-07     0.275
1.60209e-05    1.52063e-06     0.28
1.0811e-05     1.22978e-06     0.285
1.16905e-05    1.6449e-06      0.29
6.67467e-06    1.64027e-06     0.295
1.10271e-05    4.84865e-07     0.3
5.14229e-06    1.00546e-07     0.305
6.26431e-06    5.48689e-07     0.31
8.02991e-06    7.7926e-07      0.315
6.33147e-06    1.5592e-07      0.32
7.91616e-06    6.59153e-07     0.325
8.22605e-06    9.38477e-07     0.33
1.19883e-05    3.79827e-07     0.335
1.82322e-05    3.81484e-07     0.34
1.06427e-05    1.30541e-06     0.345
1.7271e-05     3.47934e-07     0.35
8.29666e-06    4.4002e-07      0.355
3.42961e-06    4.59711e-07     0.36
4.2922e-06     1.26541e-06     0.365
1.08016e-05    3.69454e-07     0.37
9.49943e-06    7.88558e-07     0.375
1.27004e-05    5.85225e-07     0.38
9.17596e-06    1.00773e-06     0.385
9.78988e-06    5.21126e-07     0.39
7.20901e-06    1.27726e-06     0.395
8.23978e-06    3.19952e-07     0.4
5.13325e-06    4.15585e-07     0.405
2.22e-05       8.55183e-07     0.41
1.16034e-05    2.89801e-07     0.415
6.50426e-06    3.74876e-07     0.42
8.73427e-06    4.84921e-07     0.425
9.26006e-06    1.40202e-06     0.43
1.5849e-05     4.39344e-07     0.435
2.41924e-06    2.76041e-07     0.44
4.93035e-06    4.79943e-08     0.445
2.10887e-06    1.07237e-06     0.45
2.73153e-06    6.9616e-08      0.455
9.31046e-06    6.08824e-07     0.46
3.498e-06      6.48233e-07     0.465
6.27095e-06    2.86553e-07     0.47
1.12849e-05    6.12711e-07     0.475
2.25518e-06    2.66155e-07     0.48
1.35715e-06    4.91203e-08     0.485
8.43715e-06    2.62122e-07     0.49
3.61173e-06    6.8191e-08      0.495
3.16112e-06    2.22248e-07     0.5
8.17359e-06    9.42306e-08     0.505
1.06935e-05    4.63166e-07     0.51
5.22652e-06    6.13533e-07     0.515
9.11145e-06    3.4646e-07      0.52
1.51245e-06    4.28243e-08     0.525
9.07322e-06    4.44947e-08     0.53
1.68901e-06    2.4283e-07      0.535
1.84608e-06    2.42931e-07     0.54
1.03576e-05    4.65044e-08     0.545
8.86076e-06    3.51434e-07     0.55
6.62366e-06    5.07751e-08     0.555
4.34706e-06    2.61884e-07     0.56
7.08948e-06    1.03445e-07     0.565
4.70285e-06    8.97667e-08     0.57
4.59168e-06    3.27871e-08     0.575
3.76917e-06    3.89332e-08     0.58
3.84858e-06    5.75853e-08     0.585
1.13626e-05    2.11662e-07     0.59
7.24434e-06    7.65238e-07     0.595
8.26979e-07    3.00851e-07     0.6
7.26301e-06    2.42427e-07     0.605
8.48471e-06    4.31598e-07     0.61
1.48031e-06    2.38874e-07     0.615
6.58423e-06    3.04709e-07     0.62
4.9267e-06     2.59813e-07     0.625
1.6115e-06     2.31331e-07     0.63
1.032e-05      5.01133e-08     0.635
1.53559e-06    4.12899e-07     0.64
4.942e-06      4.02007e-07     0.645
4.22072e-06    1.80464e-07     0.65
3.8264e-06     1.55803e-08     0.655
1.01925e-05    1.4779e-07      0.66
3.44124e-06    3.10909e-07     0.665
3.09241e-06    1.85425e-07     0.67
8.39914e-06    3.24387e-08     0.675
1.78795e-06    5.92373e-08     0.68
1.45387e-06    2.34237e-07     0.685
1.73885e-06    3.86326e-08     0.69
4.41117e-06    7.68529e-08     0.695
5.52676e-06    4.57105e-08     0.7
2.32709e-06    2.42871e-07     0.705
2.21324e-06    3.87095e-07     0.71
1.97865e-06    4.2884e-08      0.715
3.21232e-06    1.97332e-08     0.72
4.85235e-06    2.09411e-08     0.725
8.27815e-06    1.92818e-08     0.73
8.30451e-07    1.68523e-07     0.735
5.66621e-06    1.74042e-08     0.74
3.38505e-06    2.7308e-08      0.745
1.46556e-06    4.45099e-08     0.75
7.29828e-07    2.10732e-08     0.755
1.09448e-05    1.54026e-07     0.76
9.61742e-07    2.69177e-08     0.765
1.43216e-06    3.61708e-08     0.77
1.33444e-07    1.75602e-07     0.775
7.71246e-06    1.46242e-08     0.78
1.142e-05      2.12164e-08     0.785
9.50667e-06    6.74342e-08     0.79
2.64804e-06    1.9058e-07      0.795
2.09427e-06    2.70081e-08     0.8
5.90944e-06    2.0085e-07      0.805
2.09712e-06    2.75537e-08     0.81
2.16508e-06    3.26306e-08     0.815
4.81723e-07    2.12313e-07     0.82
3.15573e-06    1.34472e-07     0.825
4.28833e-06    1.37496e-08     0.83
1.01446e-06    1.28206e-08     0.835
1.11854e-06    1.56763e-07     0.84
6.79374e-06    2.56804e-08     0.845
5.94182e-06    4.41502e-09     0.85
3.65482e-06    1.30404e-07     0.855
1.02604e-06    1.74646e-08     0.86
1.38781e-06    2.11403e-08     0.865
1.43801e-06    8.08881e-09     0.87
6.67024e-06    5.53776e-09     0.875
7.43727e-07    9.94266e-09     0.88
1.48939e-07    1.04789e-07     0.885
5.58688e-08    1.5331e-08      0.89
3.30845e-06    6.85201e-10     0.895
6.26642e-06    1.42077e-07     0.9
1.25058e-06    3.09949e-08     0.905
2.56257e-06    1.92593e-08     0.91
1.33367e-06    8.90796e-09     0.915
1.94313e-07    4.41053e-09     0.92
4.07105e-07    1.90973e-08     0.925
6.6245e-07     1.48718e-08     0.93
1.37963e-07    1.25667e-09     0.935
4.64279e-07    6.97818e-09     0.94
2.01916e-06    2.23928e-08     0.945
8.12672e-07    1.04837e-07     0.95
1.15907e-06    1.58502e-08     0.955
1.10516e-07    -2.11805e-10    0.96
2.35104e-06    1.16646e-08     0.965
3.38347e-07    9.43034e-09     0.97
1.41057e-06    7.57097e-09     0.975
1.51606e-07    6.69723e-08     0.98
2.66919e-07    6.45475e-09     0.985
4.27307e-07    1.97348e-08     0.99
3.18626e-05    1.10024e-06     0.995
