weight_A       weight_B        ir
0.138104       0.0181333       0
0.442018       0               1
0.0708869      0               2
0.0385026      0.94855         3
0.044264       0.246882        4
0              0               5
0.08265        0.623733        6
0.0192126      0               7
0.750499       0.31772         8
0.0245006      0               9
0.0183666      0.288641        10
0.0306688      0               11
0.0631701      0               12
0.0589382      0               13
0.006221       0               14
0.0316176      0               15
0.0269438      0               16
0.142381       0               17
0.0254018      0               18
0.269727       0               19
0.00152924     0               20
0.0170821      0.231634        21
0              0               22
0.117918       0               23
0              0               24
0              0               25
0.00942926     0               26
0.108346       0               27
0              0.30863         28
0.116431       0               29
0.00288389     0               30
0.0115444      0               31
0.0577244      0.298685        32
0              0               33
0              0               34
0.00118908     0.315024        35
0              0               36
0.0387606      0               37
0.0012309      0               38
0.104352       0.342184        39
0              0               40
0              0.295503        41
0.000374559    0               42
0              0.472374        43
0              0               44
0.045112       0               45
0.00245003     0               46
0.00184702     0               47
0              0               48
0              0               49
0              0.309697        50
0              0.30781         51
0              0               52
0              0               53
0              0               54
0              0.296422        55
0              0               56
0.0341205      0               57
0              0               58
0              0.0967684       59
0.0775872      0               60
0.0117449      0.297502        61
0.0421205      0.302167        62
0              0               63
0              0               64
0              0               65
0              0.296009        66
0              0               67
0              0.719198        68
0              0.309624        69
0              0.265419        70
0              0               71
0              0               72
0.00286616     0.188471        73
0              0               74
0              0               75
0              0.563416        76
0              0               77
0.0293431      0.0986626       78
0              0               79
0.0196945      0               80
0.130689       0.48005         81
0              0               82
0              0.294694        83
0              0.316596        84
0              0               85
0              0.259824        86
0              0               87
0              0               88
0              0               89
0.116096       0               90
0              0               91
0              0               92
0.0160104      0.301189        93
0              0.273583        94
0              0               95
0              0               96
0              0               97
0              0               98
98.8601        103.58          99
